date,PX_LAST,PX_OPEN
2018-01-02,9.77,10.95
2018-01-03,9.15,9.56
2018-01-04,9.22,9.01
2018-01-05,9.22,9.1
2018-01-08,9.52,9.61
2018-01-09,10.08,9.41
2018-01-10,9.82,10.11
2018-01-11,9.88,9.69
2018-01-12,10.16,9.74
2018-01-16,11.66,10.42
2018-01-17,11.91,11.35
2018-01-18,12.22,12.01
2018-01-19,11.27,12.3
2018-01-22,11.03,11.59
2018-01-23,11.1,10.77
2018-01-24,11.47,11.0
2018-01-25,11.58,11.27
2018-01-26,11.08,11.4
2018-01-29,13.84,11.71
2018-01-30,14.79,13.93
2018-01-31,13.54,14.23
2018-02-01,13.47,13.05
2018-02-02,17.31,13.64
2018-02-05,37.32,18.44
2018-02-06,29.98,37.32
2018-02-07,27.73,31.38
2018-02-08,33.46,27.29
2018-02-09,29.06,32.18
2018-02-12,25.61,27.25
2018-02-13,24.97,26.94
2018-02-14,19.26,23.48
2018-02-15,19.13,18.39
2018-02-16,19.46,18.74
2018-02-20,20.6,20.53
2018-02-21,20.02,20.76
2018-02-22,18.72,20.57
2018-02-23,16.49,17.96
2018-02-26,15.8,16.53
2018-02-27,18.59,15.83
2018-02-28,19.85,18.08
2018-03-01,22.47,19.96
2018-03-02,19.59,22.47
2018-03-05,18.73,21.55
2018-03-06,18.36,18.25
2018-03-07,17.76,20.11
2018-03-08,16.54,17.56
2018-03-09,14.64,16.41
2018-03-12,15.78,15.28
2018-03-13,16.35,15.7
2018-03-14,17.23,16.59
2018-03-15,16.59,16.99
2018-03-16,15.8,16.6
2018-03-19,19.02,16.63
2018-03-20,18.2,18.38
2018-03-21,17.86,17.76
2018-03-22,23.34,18.13
2018-03-23,24.87,24.02
2018-03-26,21.03,23.41
2018-03-27,22.5,20.33
2018-03-28,22.87,22.52
2018-03-29,19.97,22.87
2018-04-02,23.62,21.07
2018-04-03,21.1,23.03
2018-04-04,20.06,21.68
2018-04-05,18.94,19.76
2018-04-06,21.49,20.33
2018-04-09,21.77,21.27
2018-04-10,20.47,20.51
2018-04-11,20.24,20.95
2018-04-12,18.49,19.83
2018-04-13,17.41,18.27
2018-04-16,16.56,17.59
2018-04-17,15.25,16.16
2018-04-18,15.6,15.3
2018-04-19,15.96,15.55
2018-04-20,16.88,16.16
2018-04-23,16.34,17.29
2018-04-24,18.02,16.16
2018-04-25,17.84,18.14
2018-04-26,16.24,18.07
2018-04-27,15.41,16.22
2018-04-30,15.93,15.39
2018-05-01,15.49,15.78
2018-05-02,15.97,15.48
2018-05-03,15.9,15.78
2018-05-04,14.77,15.94
2018-05-07,14.75,15.32
2018-05-08,14.71,14.53
2018-05-09,13.42,14.54
2018-05-10,13.23,13.36
2018-05-11,12.65,13.22
2018-05-14,12.93,12.95
2018-05-15,14.63,13.13
2018-05-16,13.42,14.38
2018-05-17,13.43,13.54
2018-05-18,13.42,13.18
2018-05-21,13.08,13.44
2018-05-22,13.22,13.03
2018-05-23,12.58,13.5
2018-05-24,12.53,12.73
2018-05-25,13.22,12.44
2018-05-29,17.02,14.39
2018-05-30,14.94,16.6
2018-05-31,15.43,14.93
2018-06-01,13.46,14.92
2018-06-04,12.74,13.91
2018-06-05,12.4,12.91
2018-06-06,11.64,12.1
2018-06-07,12.13,11.66
2018-06-08,12.18,12.54
2018-06-11,12.35,12.52
2018-06-12,12.34,12.29
2018-06-13,12.94,12.13
2018-06-14,12.12,12.98
2018-06-15,11.98,12.19
2018-06-18,12.31,12.79
2018-06-19,13.35,14.61
2018-06-20,12.79,12.9
2018-06-21,14.64,12.54
2018-06-22,13.77,14.6
2018-06-25,17.33,15.07
2018-06-26,15.92,16.71
2018-06-27,17.91,16.52
2018-06-28,16.85,17.54
2018-06-29,16.09,15.73
2018-07-02,15.6,17.7
2018-07-03,16.14,15.37
2018-07-05,14.97,15.62
2018-07-06,13.37,14.99
2018-07-09,12.69,13.42
2018-07-10,12.64,12.52
2018-07-11,13.63,14.05
2018-07-12,12.58,13.07
2018-07-13,12.18,12.39
2018-07-16,12.83,12.46
2018-07-17,12.06,12.91
2018-07-18,12.1,11.87
2018-07-19,12.87,12.2
2018-07-20,12.86,13.0
2018-07-23,12.62,13.47
2018-07-24,12.41,12.61
2018-07-25,12.29,12.37
2018-07-26,12.14,12.45
2018-07-27,13.03,12.17
2018-07-30,14.26,13.63
2018-07-31,12.83,13.98
2018-08-01,13.15,13.09
2018-08-02,12.19,13.57
2018-08-03,11.64,12.43
2018-08-06,11.27,11.91
2018-08-07,10.93,11.12
2018-08-08,10.85,10.93
2018-08-09,11.27,10.94
2018-08-10,13.16,11.82
2018-08-13,14.78,14.5
2018-08-14,13.31,13.93
2018-08-15,14.64,13.52
2018-08-16,13.45,14.18
2018-08-17,12.64,13.18
2018-08-20,12.49,12.57
2018-08-21,12.86,12.47
2018-08-22,12.25,13.09
2018-08-23,12.41,12.03
2018-08-24,11.99,12.13
2018-08-27,12.16,12.37
2018-08-28,12.5,12.01
2018-08-29,12.25,12.34
2018-08-30,13.53,12.25
2018-08-31,12.86,13.54
2018-09-04,13.16,13.13
2018-09-05,13.91,13.69
2018-09-06,14.65,14.21
2018-09-07,14.88,14.72
2018-09-10,14.16,15.09
2018-09-11,13.22,13.96
2018-09-12,13.14,13.07
2018-09-13,12.37,12.91
2018-09-14,12.07,12.13
2018-09-17,13.68,12.72
2018-09-18,12.79,13.48
2018-09-19,11.75,12.61
2018-09-20,11.8,11.82
2018-09-21,11.68,11.76
2018-09-24,12.2,12.46
2018-09-25,12.42,12.28
2018-09-26,12.89,12.21
2018-09-27,12.41,12.77
2018-09-28,12.12,12.59
2018-10-01,12.0,11.99
2018-10-02,12.05,12.47
2018-10-03,11.61,11.66
2018-10-04,14.22,12.84
2018-10-05,14.82,14.29
2018-10-08,15.69,16.05
2018-10-09,15.95,16.12
2018-10-10,22.96,16.03
2018-10-11,24.98,23.07
2018-10-12,21.31,21.63
2018-10-15,21.3,21.97
2018-10-16,17.62,20.28
2018-10-17,17.4,17.06
2018-10-18,20.06,18.02
2018-10-19,19.89,19.24
2018-10-22,19.64,19.38
2018-10-23,20.71,22.18
2018-10-24,25.23,21.6
2018-10-25,24.22,24.78
2018-10-26,24.16,24.51
2018-10-29,24.7,24.48
2018-10-30,23.35,23.94
2018-10-31,21.23,22.72
2018-11-01,19.34,20.96
2018-11-02,19.51,18.52
2018-11-05,19.96,20.58
2018-11-06,19.91,19.84
2018-11-07,16.36,18.03
2018-11-08,16.72,16.18
2018-11-09,17.36,16.87
2018-11-12,20.45,17.26
2018-11-13,20.02,19.45
2018-11-14,21.25,20.52
2018-11-15,19.98,20.41
2018-11-16,18.14,20.04
2018-11-19,20.1,18.78
2018-11-20,22.48,20.76
2018-11-21,20.8,21.66
2018-11-23,21.52,21.23
2018-11-26,18.9,20.78
2018-11-27,19.02,19.41
2018-11-28,18.49,18.87
2018-11-29,18.79,18.65
2018-11-30,18.07,19.18
2018-12-03,16.44,16.04
2018-12-04,20.74,16.84
2018-12-06,21.19,23.53
2018-12-07,23.23,22.42
2018-12-10,22.64,23.95
2018-12-11,21.76,22.96
2018-12-12,21.46,21.91
2018-12-13,20.65,21.0
2018-12-14,21.63,21.57
2018-12-17,24.52,22.36
2018-12-18,25.58,24.68
2018-12-19,25.58,25.15
2018-12-20,28.38,26.09
2018-12-21,30.11,28.24
2018-12-24,36.07,29.29
2018-12-26,30.41,35.5
2018-12-27,29.96,31.2
2018-12-28,28.34,29.97
2018-12-31,25.42,27.59
2019-01-02,23.22,27.54
2019-01-03,25.45,25.68
2019-01-04,21.38,24.36
2019-01-07,21.4,22.06
2019-01-08,20.47,20.96
2019-01-09,19.98,20.44
2019-01-10,19.5,20.98
2019-01-11,18.19,19.68
2019-01-14,19.07,19.84
2019-01-15,18.6,18.53
2019-01-16,19.04,18.08
2019-01-17,18.06,19.51
2019-01-18,17.8,17.8
2019-01-22,20.8,18.53
2019-01-23,19.52,20.85
2019-01-24,18.89,19.69
2019-01-25,17.42,18.43
2019-01-28,18.87,18.56
2019-01-29,19.13,19.45
2019-01-30,17.66,19.15
2019-01-31,16.57,17.39
2019-02-01,16.14,16.63
2019-02-04,15.73,16.72
2019-02-05,15.57,15.79
2019-02-06,15.38,15.44
2019-02-07,16.37,15.66
2019-02-08,15.72,16.81
2019-02-11,15.97,16.17
2019-02-12,15.43,15.23
2019-02-13,15.65,15.46
2019-02-14,16.22,15.61
2019-02-15,14.91,16.82
2019-02-19,14.88,15.65
2019-02-20,14.02,14.92
2019-02-21,14.46,14.0
2019-02-22,13.51,14.46
2019-02-25,14.85,13.91
2019-02-26,15.17,15.16
2019-02-27,14.7,15.53
2019-02-28,14.78,15.17
2019-03-01,13.57,14.57
2019-03-04,14.63,13.77
2019-03-05,14.74,14.52
2019-03-06,15.74,14.91
2019-03-07,16.59,16.33
2019-03-08,16.05,17.38
2019-03-11,14.33,16.28
2019-03-12,13.77,13.97
2019-03-13,13.41,14.0
2019-03-14,13.5,13.35
2019-03-15,12.88,13.21
2019-03-18,13.1,13.13
2019-03-19,13.56,12.89
2019-03-20,13.91,13.54
2019-03-21,13.63,14.11
2019-03-22,16.48,13.77
2019-03-25,16.33,17.76
2019-03-26,14.68,16.22
2019-03-27,15.15,14.52
2019-03-28,14.43,15.38
2019-03-29,13.71,14.19
2019-04-01,13.4,13.9
2019-04-02,13.36,13.62
2019-04-03,13.74,13.06
2019-04-04,13.58,13.84
2019-04-05,12.82,13.46
2019-04-08,13.18,13.55
